2014-10-17 00	102132 89077 321568
2014-10-17 01	55542 58133 211661
2014-10-17 02	35003 40674 172165
2014-10-17 03	24635 29714 145453
2014-10-17 04	20174 24151 119658
2014-10-17 05	23819 25951 123759
2014-10-17 06	44138 39304 162892
2014-10-17 07	71515 54620 222280
2014-10-17 08	112548 68760 317231
2014-10-17 09	144414 86584 398329
2014-10-17 10	146714 97169 411538
2014-10-17 11	158389 107241 440893
2014-10-17 12	169545 117933 482701
2014-10-17 13	155594 115478 437358
2014-10-17 14	149978 115647 424360
2014-10-17 15	157735 124921 443143
2014-10-17 16	171432 133829 475333
2014-10-17 17	192385 137908 516434
2014-10-17 18	214400 150118 584292
2014-10-17 19	248145 173689 674483
2014-10-17 20	267072 191083 720826
2014-10-17 21	274720 198020 733133
2014-10-17 22	246859 180202 650755
2014-10-17 23	184917 147378 501657
